country,player_name,fan-ratings
Afghanistan ,Ijaz Ahmad Ahmadzai,9
Afghanistan ,Naveen-ul-Haq,8.8
Afghanistan ,Ibrahim Zadran,8.5
Afghanistan ,Rahmanullah Gurbaz,8.1
Afghanistan ,Fazalhaq Farooqi,7.7
Afghanistan ,Azmatullah Omarzai,7.7
Afghanistan ,Mujeeb Ur Rahman,7.1
Afghanistan ,Sediqullah Atal,7
Afghanistan ,Karim Janat,5.4
Afghanistan ,Nangeyalia Kharote,5.3
Afghanistan ,Mohammad Nabi,4.8
Afghanistan ,Rashid Khan,4.6
Afghanistan ,Noor Ahmad,4.6
Afghanistan ,Najibullah Zadran,4.5
Afghanistan ,Gulbadin Naib,4.2
Afghanistan ,Hazratullah Zazai,2.5
Australia ,TM Head,8.2
Australia ,MP Stoinis,8
Australia ,GJ Maxwell,7.3
Australia ,JR Hazlewood,7.2
Australia ,MR Marsh,7.1
Australia ,DA Warner,7
Australia ,PJ Cummins,6.3
Australia ,A Zampa,6
Australia ,NT Ellis,5.4
Australia ,MA Starc,5
Australia ,AC Agar,5
Australia ,TH David,2.9
Australia ,MS Wade,2.5
Bangladesh ,Mehidy Hasan Miraz,5.6
Bangladesh ,Hasan Mahmud,5.5
Bangladesh ,Mominul Haque,5
Bangladesh ,Shakib Al Hasan,4.4
Bangladesh ,Zakir Hasan,4.3
Bangladesh ,Khaled Ahmed,4.2
Bangladesh ,Taijul Islam,4
Bangladesh ,Mahmudul Hasan Joy,3.2
Bangladesh ,Litton Das,3.1
Bangladesh ,Shahadat Hossain (3),2.7
Bangladesh ,Najmul Hossain Shanto,2.5
Canada ,NR Kirton,8.5
Canada ,D Heyliger,7.6
Canada ,S Movva,6.9
Canada ,H Thaker,6
Canada ,Saad Bin Zafar,5.5
Canada ,JOA Gordon,5.3
Canada ,DS Bajwa,4.8
Canada ,U Bhagwan,4.6
Canada ,Kaleem Sana,4.5
Canada ,Parveen Kumar,3.5
Canada ,Junaid Siddiqui,3.4
Canada ,N Dutta,3.1
Canada ,Pargat Singh,2
Canada ,Ravinderpal Singh,1.8
Canada ,A Johnson,1.4
Canada ,NS Dhaliwal,1.3
Canada ,RR Joshi,1
Canada ,SA Wijeyeratne,1
England ,CJ Jordan,8.9
England ,MM Ali,7.5
England ,JM Bairstow,7.2
England ,PD Salt,7
England ,HC Brook,6.4
England ,SM Curran,6.4
England ,JC Buttler,6.3
England ,JC Archer,5.8
England ,WG Jacks,4.9
England ,RJW Topley,4.6
England ,AU Rashid,4.3
England ,LS Livingstone,4.2
England ,MA Wood,3.7
India ,JJ Bumrah,8.9
India ,RR Pant,7.3
India ,SA Yadav,7.2
India ,Mohammed Siraj,7.2
India ,AR Patel,7.1
India ,V Kohli,7
India ,RA Jadeja,6.9
India ,HH Pandya,6.6
India ,Arshdeep Singh,6.6
India ,RG Sharma,5.4
India ,Kuldeep Yadav,5.3
India ,S Dube,4.2
Ireland ,GH Dockrell,8.5
Ireland ,F Hand,7.7
Ireland ,HT Tector,6.6
Ireland ,BJ McCarthy,6.6
Ireland ,C Campher,6.3
Ireland ,A Balbirnie,6.2
Ireland ,MR Adair,5.2
Ireland ,B White,5
Ireland ,GJ Delany,5
Ireland ,GI Hume,3.9
Ireland ,LJ Tucker,3.8
Ireland ,PR Stirling,3.7
Ireland ,JB Little,3.6
Ireland ,CA Young,3.2
Ireland ,GR Adair,3.2
Ireland ,NA Rock,2.7
Namibia ,JP Kotze,9.3
Namibia ,ZE Green,7.4
Namibia ,R Trumpelmann,7.3
Namibia ,BM Scholtz,6
Namibia ,T Lungameni,5.8
Namibia ,MB Kruger,5
Namibia ,N Davin,5
Namibia ,GJ van Rensburg,4.7
Namibia ,D Wiese,3.5
Namibia ,DO Leicher,3.3
Namibia ,MG Erasmus,2.7
Namibia ,JT Brassell,2.4
Namibia ,JJ Smit,2.2
Namibia ,M van Lingen,2
Namibia ,JN Frylinck,1.7
Namibia ,B Shikongo,1.7
Namibia ,SPS Shikongo,1
Nepal ,Aasif Sheikh,9.3
Nepal ,K Bhurtel,8.4
Nepal ,Kushal Malla,8.2
Nepal ,Pratis GC,7.9
Nepal ,S Lamichhane,7.4
Nepal ,RK Paudel,7.1
Nepal ,Karan KC,5.6
Nepal ,Gulsan Jha,5.1
Nepal ,LN Rajbanshi,5
Nepal ,S Dhakal,4.8
Nepal ,B Yadav,4.6
Nepal ,Sompal Kami,4.1
Nepal ,DS Airee,3.7
Nepal ,AK Sah,3.2
Nepal ,A Bohara,2.8
Nepal ,S Jora,2.8
Netherlands ,Vikramjit Singh,7.6
Netherlands ,LV van Beek,7.5
Netherlands ,M Levitt,7.1
Netherlands ,DT Doram,6.4
Netherlands ,PA van Meekeren,6.1
Netherlands ,A Dutt,5.6
Netherlands ,SA Edwards,4.7
Netherlands ,VJ Kingma,4
Netherlands ,W Barresi,3.7
Netherlands ,MP O'Dowd,3.6
Netherlands ,TJG Pringle,3.5
Netherlands ,BFW de Leede,3.1
Netherlands ,K Klein,2.9
Netherlands ,SA Engelbrecht,2.7
Netherlands ,AT Nidamanuru,1.7
New Zealand ,TB Robinson,8
New Zealand ,TA Boult,7.9
New Zealand ,DP Conway,6.5
New Zealand ,IS Sodhi,6.1
New Zealand ,LH Ferguson,6.1
New Zealand ,MJ Santner,6.1
New Zealand ,TG Southee,6
New Zealand ,D Foxcroft,5.9
New Zealand ,MG Bracewell,5.6
New Zealand ,JDS Neesham,5.3
New Zealand ,W O'Rourke,5.3
New Zealand ,GD Phillips,4.6
New Zealand ,KS Williamson,4.6
New Zealand ,MJ Henry,4.6
New Zealand ,BG Lister,4
New Zealand ,CE McConchie,3.9
New Zealand ,ZGF Foulkes,3.9
