country,player_name_x,role,fan-ratings
Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,8.1
Afghanistan,Hazratullah Zazai,Opening Batter,2.5
Afghanistan,Ibrahim Zadran,Opening Batter,8.5
Afghanistan,Ibrahim Zadran,Opening Batter,4.5
Afghanistan,Najibullah Zadran,Middle order Batter,8.5
Afghanistan,Najibullah Zadran,Middle order Batter,4.5
Afghanistan,Rashid Khan,Bowling Allrounder,4.6
Afghanistan,Azmatullah Omarzai,Allrounder,7.7
Afghanistan,Gulbadin Naib,Batting Allrounder,4.2
Afghanistan,Karim Janat,Bowling Allrounder,5.4
Afghanistan,Mohammad Nabi,Allrounder,4.8
Afghanistan,Nangeyalia Kharote,Allrounder,5.3
Afghanistan,Fareed Ahmad,Bowler,4.6
Afghanistan,Noor Ahmad,Bowler,4.6
Afghanistan,Fazalhaq Farooqi,Bowler,7.7
Afghanistan,Naveen-ul-Haq,Bowler,8.8
Afghanistan,Mujeeb Ur Rahman,Bowler,7.1
Australia,Tim David,Middle order Batter,2.9
Australia,Travis Head,Top order Batter,8.2
Australia,Matthew Wade,Wicketkeeper Batter,2.5
Australia,David Warner,Opening Batter,7
Australia,Mitchell Marsh,Allrounder,7.1
Australia,Glenn Maxwell,Batting Allrounder,7.3
Australia,Marcus Stoinis,Batting Allrounder,8
Australia,Ashton Agar,Bowler,5
Australia,Pat Cummins,Bowler,6.3
Australia,Nathan Ellis,Bowler,5.4
Australia,Josh Hazlewood,Bowler,7.2
Australia,Mitchell Starc,Bowler,5
Australia,Adam Zampa,Bowler,6
Bangladesh,Najmul Hossain Shanto,Top order Batter,2.5
Bangladesh,Litton Das,Wicketkeeper Batter,3.1
Bangladesh,Tanzid Hasan,Opening Batter,4.4
Bangladesh,Tanzid Hasan,Opening Batter,4.3
Bangladesh,Mahedi Hasan,Allrounder,4.4
Bangladesh,Mahedi Hasan,Allrounder,4.3
Bangladesh,Shakib Al Hasan,Allrounder,4.4
Bangladesh,Shakib Al Hasan,Allrounder,4.3
Bangladesh,Taskin Ahmed,Bowler,4.2
Bangladesh,Shoriful Islam,Bowler,4
Bangladesh,Tanvir Islam,Bowler,4
Canada,Navneet Dhaliwal,Middle order Batter,1.3
Canada,Aaron Johnson,Batter,1.4
Canada,Shreyas Movva,Wicketkeeper Batter,6.9
Canada,Ravinderpal Singh,Batter,2
Canada,Ravinderpal Singh,Batter,1.8
Canada,Pargat Singh,Allrounder,2
Canada,Pargat Singh,Allrounder,1.8
Canada,Saad Bin Zafar,Allrounder,5.5
Canada,Dilpreet Bajwa,Allrounder,4.8
Canada,Junaid Siddiqui,Allrounder,3.4
Canada,Nicholas Kirton,Batting Allrounder,8.5
Canada,Harsh Thaker,Allrounder,6
Canada,Nikhil Dutta,Bowler,3.1
Canada,Jeremy Gordon,Bowler,5.3
Canada,Dilon Heyliger,Bowler,7.6
Canada,Rishiv Joshi,Bowler,1
Canada,Kaleem Sana,Bowler,4.5
England,Jos Buttler,Wicketkeeper Batter,6.3
England,Jonny Bairstow,Wicketkeeper Batter,7.2
England,Harry Brook,Batter,6.4
England,Phil Salt,Wicketkeeper Batter,7
England,Moeen Ali,Batting Allrounder,7.5
England,Sam Curran,Allrounder,6.4
England,Will Jacks,Batting Allrounder,4.9
England,Liam Livingstone,Batting Allrounder,4.2
England,Jofra Archer,Bowler,5.8
England,Chris Jordan,Bowler,8.9
England,Adil Rashid,Bowler,4.3
England,Reece Topley,Bowler,4.6
England,Mark Wood,Bowler,3.7
India,Rohit Sharma,Top order Batter,5.4
India,Virat Kohli,Top order Batter,7
